Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Acumulado,Promedio
"Mansilla, Jacobo",VOL,QUI,3200000,0,0,0,5,0,13,4,4,5,3,6,6,5,5,6,62,5.64
"Velázquez, Maxi",DEF,LAN,3700000,3,3,7,5,3,7,8,9,-1,0,1,0,7,5,5,62,4.77
"Velázquez, Julián",DEF,IND,5000000,0,0,0,0,0,6,4,5,5,8,23,0,1,5,5,62,6.89
"Carrillo, Guido",DEL,EST,2000000,8,5,5,10,4,6,5,3,3,5,4,3,0,0,0,61,5.08
"Carli, Joel",DEF,QUI,2600000,8,3,14,0,0,6,6,4,5,3,9,3,0,0,0,61,5.55
"Alemán, Brahian",VOL,UNI,2800000,5,5,5,7,4,5,5,6,4,4,4,4,0,3,0,61,4.69
"Iñiguez, Gaspar",VOL,ARG,3000000,0,0,7,5,5,6,6,7,10,6,4,5,0,0,0,61,6.1
"Jara, Diego",DEL,UNI,3700000,6,4,0,3,0,5,4,7,2,5,4,4,9,4,4,61,4.69
"Iberbia, Raúl",DEF,EST,3800000,0,0,7,5,4,7,7,5,0,6,5,4,2,5,4,61,5.08
"Paredes, Leandro",VOL,BOC,1300000,0,0,0,12,4,0,0,0,4,4,2,0,24,4,6,60,7.5
"Sánchez Miño, Juan M.",VOL,BOC,3000000,0,7,8,0,5,5,18,4,4,4,3,2,0,0,0,60,6
"Ibáñez, Nelson",ARQ,GOD,4200000,4,9,9,3,4,0,0,0,14,-3,9,3,5,3,0,60,5
"Alcoba, Gerardo",DEF,COL,3900000,0,8,5,3,5,13,5,2,5,3,5,0,5,0,0,59,5.36
"Donnet, Matías",VOL,UNI,3900000,4,4,5,0,12,3,4,5,3,0,5,4,0,5,5,59,4.92
"Turus, Gastón",DEF,BEL,4000000,3,5,4,7,0,0,4,7,5,4,6,4,5,5,0,59,4.54
"Grabinski, Cristian",DEF,SMA,3800000,0,0,0,0,0,8,5,8,6,6,7,3,4,7,4,58,5.8
"Prediger, Sebastián",VOL,COL,4500000,10,4,6,9,5,1,0,5,0,4,0,2,0,0,12,58,5.8
"Cirigliano, Ezequiel",VOL,RIV,4600000,4,5,4,5,0,0,5,0,5,6,4,5,3,6,6,58,4.83
"Camoranesi, Mauro",VOL,RAC,5800000,4,5,5,2,0,4,2,6,0,6,3,6,7,5,3,58,4.46
"Camacho, Washington",DEF,GOD,2800000,0,0,0,6,7,4,0,0,9,2,8,7,8,6,0,57,6.33
"Zapata, Martín",VOL,BEL,4000000,7,4,0,5,11,3,5,4,4,0,0,5,5,4,0,57,5.18
"Kalinski, Enzo",VOL,SLO,4200000,0,0,0,0,5,6,3,3,6,4,4,6,5,4,11,57,5.18
"Olivera, Wilfredo",DEF,QUI,2200000,6,5,2,3,3,5,7,5,5,3,0,0,3,7,2,56,4.31
"Vallés, Gabriel",DEF,IND,2800000,7,7,0,0,2,6,0,3,3,8,5,0,3,6,6,56,5.09
"Anangonó, Juan",DEL,ARG,3500000,0,0,0,0,0,0,15,0,11,5,5,5,6,4,5,56,7
"Bella, Iván",VOL,VEL,3500000,5,0,0,3,0,5,18,3,4,5,4,3,0,3,3,56,5.09
"Placente, Diego",DEF,ARG,4000000,0,5,13,6,0,0,0,4,5,4,3,0,1,7,8,56,5.09
"Lugüercio, Pablo",DEL,ARS,4000000,4,4,4,5,5,0,1,4,4,5,4,3,5,5,3,56,4
"Curuchet, Facundo",DEL,COL,1200000,0,5,15,5,6,0,0,4,0,0,4,6,4,6,0,55,6.11
"Jara, Leonardo",VOL,EST,2200000,5,5,5,4,4,3,0,0,5,6,5,3,4,0,6,55,4.58
"Soto, Carlos",DEF,ALB,3000000,0,5,5,2,5,4,3,3,2,0,8,5,4,4,5,55,4.23
"Valeri, Diego",VOL,LAN,7600000,5,3,0,0,0,0,5,15,6,0,0,0,6,3,12,55,6.88
"Aguirre, Nicolás",VOL,ARS,4400000,9,4,6,4,0,0,1,0,4,3,5,0,10,3,5,54,4.91
"Jara, Franco",DEL,SLO,7000000,16,5,5,3,1,0,4,4,3,1,5,5,2,0,0,54,4.5
"García, Javier",ARQ,TIG,4800000,3,3,-2,5,5,5,3,2,9,14,4,0,2,0,0,53,4.08
"Bottinelli, Jonathan",DEF,RIV,4900000,0,0,0,0,0,3,2,4,9,9,0,5,6,7,8,53,5.3
"Rosales, Paulo",VOL,IND,5000000,2,5,2,6,5,4,6,4,6,6,4,0,3,0,0,53,4.42
"Mercado, Gabriel",DEF,RIV,5000000,5,7,5,7,2,4,0,0,0,0,0,2,6,7,8,53,5.3
"Lanzini, Manuel",VOL,RIV,5000000,13,5,13,4,0,0,0,5,5,6,2,0,0,0,0,53,6.63
"Rodríguez, Clemente",DEF,BOC,6000000,4,8,6,0,5,0,2,4,4,0,7,4,4,0,5,53,4.82
"Ardente, Luis",ARQ,SMA,3200000,3,3,1,0,0,9,1,14,5,7,2,3,4,0,0,52,4.73
"Castellani, Gonzalo",VOL,GOD,3500000,6,5,7,6,0,0,4,6,7,5,0,0,6,0,0,52,5.78
"Braña, Rodrigo",VOL,EST,4800000,2,4,5,2,1,0,3,9,0,5,8,3,5,5,0,52,4.33
"Allione, Agustín",VOL,VEL,400000,8,5,5,6,0,0,0,0,6,0,0,3,6,6,6,51,5.67
"Nagüel, Santiago",VOL,ARG,2800000,4,2,4,6,0,0,4,4,0,0,5,0,0,11,11,51,5.67
"Diz, Facundo",DEL,QUI,3000000,5,5,4,9,4,0,0,4,0,0,4,5,5,5,1,51,4.64
"Donatti, Alejandro",DEF,TIG,2700000,0,0,0,2,6,6,5,3,0,8,0,0,15,5,0,50,6.25
"Bustos, Maximiliano",VOL,SMA,3000000,6,0,0,5,3,4,2,4,6,3,0,5,3,5,4,50,4.17
"Aquino, Víctor",DEL,BEL,2900000,0,0,0,0,5,0,0,0,5,9,5,5,10,5,5,49,6.13
"Lequi, Matías",DEF,ALB,3000000,6,6,5,6,5,4,6,5,6,0,0,0,0,0,0,49,5.44
"Leone, Ramiro",VOL,TIG,3900000,0,6,4,0,5,5,5,0,5,4,5,0,0,6,4,49,4.9
"Cavallaro, Juan I.",VOL,UNI,1300000,4,0,0,0,3,4,4,6,5,5,4,0,4,5,4,48,4.36
"Maidana, Mauro",DEF,UNI,1900000,1,4,5,-1,0,4,6,4,5,4,4,2,5,4,1,48,3.43
"Zuculini, Bruno",VOL,RAC,2700000,0,0,0,0,0,0,0,7,6,4,3,5,12,6,5,48,6
"Vella, Cristian",DEF,ATR,2800000,1,7,3,2,0,5,5,7,2,4,5,5,2,0,0,48,4
"Goñi, Ernesto",DEF,QUI,2800000,7,0,0,0,5,0,0,0,0,0,7,5,13,6,5,48,6.86
"Tula, Cristian",DEF,IND,4200000,6,8,3,6,13,3,5,0,0,0,0,0,4,0,0,48,6
"DELaya, Emilio",DEL,ARS,5000000,0,4,6,5,3,4,0,0,0,0,5,5,5,5,6,48,4.36
"Kannemann, Walter",DEF,SLO,2800000,0,7,4,5,0,0,0,0,4,5,0,0,0,18,4,47,6.71
"Galeano, Leonel",DEF,IND,3800000,0,0,0,0,2,0,2,3,6,7,8,0,5,9,5,47,5.22
"Trezeguet, David",DEL,RIV,11000000,4,8,0,5,4,10,4,4,0,4,0,4,0,0,0,47,5.22
"Coronel, Maximiliano",DEF,ALB,2000000,0,0,0,0,0,0,0,2,6,6,8,12,5,1,6,46,5.75
"Benedetto, Darío",DEL,ARS,2500000,5,0,11,11,3,3,4,5,4,0,0,0,0,0,0,46,5.75
"Tonso, Martín",VOL,NOB,2700000,0,5,6,0,0,7,0,5,6,3,4,5,5,0,0,46,5.11
"Capurro, Alejandro",VOL,ARG,3300000,3,6,0,0,0,11,5,6,0,5,2,4,4,0,0,46,5.11
"Sperduti, Mauricio",VOL,NOB,4800000,2,17,5,4,4,5,5,0,0,0,0,0,0,0,4,46,5.75
