"Martínez, Sebastián",DEF,QUI,3000000,0,3,7,2,3,8,6,9,4,8,2,5,7,64,5.33
"García, Diego",DEL,SMJ,3200000,5,5,10,5,5,0,4,6,6,5,6,0,7,64,5.82
"Bernardello, Hernán",VOL,COL,3900000,2,0,7,10,6,6,6,5,0,6,5,6,5,64,5.82
"Zapata, Martín",VOL,BEL,4000000,3,5,0,0,17,0,2,11,7,4,6,4,5,64,6.4
"Tonso, Martín",VOL,NEW,3400000,5,4,5,0,0,5,0,4,5,17,7,5,6,63,6.3
"Ledesma, Damián",DEF,SMJ,3800000,5,3,2,3,5,5,14,7,4,0,6,3,6,63,5.25
"González, Esteban",VOL,BEL,4000000,4,6,5,3,5,7,6,5,8,5,3,0,6,63,5.25
"Kalinski, Enzo",VOL,SLO,4700000,5,3,0,12,6,5,3,5,5,3,5,5,6,63,5.25
"Mas, Emmanuel",DEF,SMJ,5000000,7,5,6,5,5,4,5,7,4,5,4,0,6,63,5.25
"Melano, Lucas",DEL,BEL,2900000,3,5,6,4,4,5,0,6,12,4,3,6,4,62,5.17
"Furch, Julio",DEL,ARS,3000000,5,5,9,5,0,9,2,5,4,10,4,0,4,62,5.64
"Urribarri, Bruno",DEF,COL,3500000,3,4,2,3,4,0,3,5,18,5,8,5,2,62,5.17
"Turus, Gastón",DEF,BEL,4000000,3,7,5,5,7,5,5,8,8,5,4,0,0,62,5.64
"Angeleri, Marcos",DEF,EST,4000000,2,4,4,0,5,6,5,6,6,4,7,7,6,62,5.17
"Piatti, Ignacio",VOL,SLO,6900000,4,6,6,5,4,0,4,5,4,7,7,5,5,62,5.17
"Miranda, Leonel",VOL,IND,500000,6,5,13,6,4,4,5,5,4,0,4,0,5,61,5.55
"Sacks, Joel",DEF,ATR,2000000,0,8,5,5,5,4,7,4,7,8,3,5,0,61,5.55
"Casco, Milton",DEF,NEW,2800000,6,0,5,8,0,8,7,0,5,5,11,0,6,61,6.78
"Gelabert, Marcos",VOL,EST,3200000,11,5,4,11,5,6,5,5,0,4,4,1,0,61,5.55
"Ré, Germán",DEF,EST,4000000,0,0,0,5,3,3,7,5,4,8,7,12,7,61,6.1
"Vizcarrondo, Oswaldo",DEF,LAN,4000000,9,8,7,8,8,0,1,0,1,6,4,4,5,61,5.55
"Ojeda, Luis",ARQ,ARG,4200000,0,0,0,20,1,5,10,8,9,3,2,3,0,61,6.78
"Eluchans, Juan",VOL,ATR,3400000,6,5,5,13,8,11,6,6,0,0,0,0,0,60,7.5
"Ledesma, Cristian",VOL,RIV,3600000,5,6,5,3,3,0,5,7,6,3,6,5,6,60,5
"Fernández, José L.",VOL,GOD,3900000,0,6,5,5,5,5,5,5,6,3,4,7,4,60,5
"Peñalba, Gabriel",VOL,TIG,4000000,15,5,4,6,6,5,4,6,0,4,0,5,0,60,6
"Moreno y F., Iván",VOL,COL,5000000,5,5,6,4,5,2,0,6,0,14,6,5,2,60,5.45
"Quiroga, Facundo",DEF,ALB,3000000,0,0,7,0,6,5,5,9,5,3,7,7,5,59,5.9
"Ortiz, Jorge",VOL,ARS,4600000,5,5,6,5,6,6,6,6,3,5,2,4,0,59,4.92
"Fernández, Adrián",DEL,IND,300000,0,0,0,0,0,0,0,5,10,2,11,25,5,58,9.67
"Bianchi, Bruno",DEF,UNI,1800000,0,0,0,18,6,3,5,7,6,7,1,0,5,58,6.44
"Marcone, Iván",VOL,ARS,3800000,5,5,4,6,0,6,5,5,4,4,4,6,4,58,4.83
"Iturbe, Juan M.",DEL,RIV,4000000,0,0,9,5,6,5,3,0,4,4,4,6,12,58,5.8
"Prediger, Sebastián",VOL,COL,4500000,3,0,0,4,0,0,12,3,6,3,18,5,4,58,6.44
"Villalba, Héctor",DEL,SLO,400000,0,0,5,0,5,6,0,7,12,17,5,0,0,57,8.14
"Cosaro, Guillermo",DEF,UNI,1500000,0,0,0,6,3,5,4,4,6,5,15,5,4,57,5.7
"Márquez, Fernando",DEL,BEL,1800000,4,0,0,2,4,5,5,6,16,4,3,4,4,57,5.18
"Pérez, Pablo",VOL,NEW,5200000,14,3,4,0,0,3,3,0,6,0,12,2,10,57,6.33
"Pérez, Damián",DEF,ARS,3700000,3,8,5,7,0,3,0,8,6,4,0,8,4,56,5.6
"Garcé, Ariel",DEF,ARG,3800000,5,4,2,0,3,5,7,7,7,5,1,4,6,56,4.67
"Martínez, Román",VOL,EST,7500000,0,0,5,12,5,5,5,0,5,4,5,5,5,56,5.6
"Romero, Sebastián",VOL,QUI,3400000,0,0,0,5,14,6,5,4,4,3,5,3,6,55,5.5
"Oberman, Gustavo",DEL,QUI,3400000,3,6,5,5,5,5,10,4,2,2,4,4,0,55,4.58
"Migliore, Pablo",ARQ,SLO,5000000,9,8,5,9,5,15,4,0,0,0,0,0,0,55,7.86
"Montenegro, Daniel",VOL,IND,8600000,5,6,8,5,0,0,0,2,11,3,6,5,4,55,5
"Mora, Rodrigo",DEL,RIV,9500000,5,5,11,4,5,4,4,5,4,4,0,4,0,55,5
"Affranchino, Facundo",VOL,SMJ,3000000,5,5,4,5,5,6,0,0,6,0,6,5,7,54,5.4
"Galmarini, Martín",VOL,TIG,4200000,5,5,5,6,3,0,0,6,5,11,0,3,5,54,5.4
"Prósperi, Gonzalo",DEF,SLO,4500000,7,6,5,8,2,7,5,5,2,0,0,0,7,54,5.4
"Bottinelli, Jonathan",DEF,RIV,5400000,5,9,2,4,5,4,4,0,0,8,5,0,8,54,5.4
"Domínguez, Sebastián",DEF,VEL,5800000,8,6,0,8,0,6,12,6,0,0,0,8,0,54,7.71
"San Román, José",DEF,GOD,2900000,5,4,7,8,8,6,2,0,0,2,0,8,3,53,5.3
"Caicedo, Juan F.",DEL,IND,3500000,7,0,6,5,5,5,4,3,0,0,11,5,2,53,5.3
"Kannemann, Walter",DEF,SLO,3500000,5,0,0,0,0,7,6,0,0,6,15,5,9,53,7.57
"Cetto, Mauro",DEF,SLO,4300000,0,13,3,18,3,2,0,5,4,0,0,5,0,53,6.63
"Leguizamón, Leandro",DEL,TIG,1200000,5,2,4,5,4,5,0,6,4,8,0,4,5,52,4.73
"Stefanatto, Darío",VOL,ALB,2200000,2,5,4,2,5,4,3,5,6,6,5,6,-1,52,4
"González Pirez, Leandro",DEF,RIV,3500000,0,6,2,2,6,0,6,20,0,3,5,2,0,52,5.78
"Copete, Jonathan",DEL,VEL,4200000,3,0,6,6,6,6,4,5,5,5,0,6,0,52,5.2
"Chávez, Cristian",VOL,LAN,4500000,0,0,7,5,7,5,5,5,5,0,5,4,4,52,5.2
"Silva, Santiago",DEL,BOC,10000000,4,0,3,5,-1,8,12,0,8,0,6,7,0,52,5.2
"Sánchez Miño, Juan M.",VOL,BOC,3000000,0,0,0,0,9,5,7,6,3,11,5,5,0,51,6.38
"Graciani, Gabriel",VOL,COL,3100000,3,2,5,0,6,0,5,6,5,4,5,6,4,51,4.64
"Limia, Alejandro",ARQ,UNI,3300000,0,0,0,0,0,4,3,8,3,14,3,10,6,51,6.38
"Fredes, Hernán",VOL,IND,3500000,3,5,6,4,6,4,3,0,4,5,6,0,5,51,4.64
"Menéndez, Cristian",DEL,QUI,3500000,12,6,6,10,10,3,0,0,0,0,0,4,0,51,7.29
"Cáceres, Marcos",DEF,NEW,3800000,5,0,0,5,2,8,0,0,0,18,3,5,5,51,5.67
"Vera, Diego",DEL,ATR,4000000,0,4,9,4,4,4,9,4,2,11,0,0,0,51,5.67
"Fariña, Luis C.",VOL,RAC,4100000,4,0,0,6,6,6,4,5,0,5,0,5,10,51,5.67
"Vargas, Fabián",VOL,IND,4900000,5,0,12,6,3,6,6,0,6,0,4,3,0,51,5.67
"Ramírez, David",VOL,GOD,5700000,0,0,0,5,5,4,14,4,3,5,5,6,0,51,5.67
"Rulli, Gerónimo",ARQ,EST,500000,0,0,0,0,0,0,0,5,8,5,15,9,8,50,8.33
"Bustos, Maximiliano",VOL,SMJ,3000000,0,0,0,5,3,6,3,5,7,6,6,3,6,50,5
"Núñez, Maximiliano",VOL,EST,3600000,4,0,0,14,6,0,0,0,3,3,10,4,6,50,6.25
"Rolle, Martín",VOL,ARS,4600000,4,5,4,6,0,5,0,12,3,6,0,0,5,50,5.56
"Ferreyra, Osmar",VOL,IND,5100000,5,6,4,6,5,2,0,5,5,3,0,6,3,50,4.55
"Sánchez, Carlos",VOL,RIV,5300000,2,5,5,4,5,4,5,6,4,5,3,2,0,50,4.17
"Heinze, Gabriel",DEF,NEW,5500000,3,0,4,0,0,9,13,5,2,0,5,5,4,50,5.56
"Silva, Jonathan",DEF,EST,600000,0,0,0,5,0,5,5,5,7,3,7,7,5,49,5.44
"Sarmiento, Brian",VOL,ALB,2200000,0,5,0,0,0,0,5,17,4,5,5,4,4,49,6.13
"Domínguez, Eduardo",DEF,ATR,3600000,0,0,0,15,4,2,7,2,0,6,3,5,5,49,5.44
"Raldes, Ronald",DEF,COL,3700000,3,4,5,3,0,0,0,6,6,5,8,4,5,49,4.9
"Insúa, Federico",VOL,VEL,7800000,5,5,0,18,0,12,4,0,0,0,0,5,0,49,8.17
"Auzqui, Carlos",DEL,EST,1700000,0,5,6,5,5,5,4,0,5,0,4,5,4,48,4.8
"Magnín, Pablo",DEL,UNI,1700000,0,0,4,13,2,4,4,4,5,4,4,0,4,48,4.8
"Mancuello, Federico",VOL,IND,2900000,0,7,6,4,5,5,6,2,5,-2,0,6,4,48,4.36
"Burdisso, Guillermo",DEF,BOC,6100000,25,5,2,2,0,0,0,8,2,5,0,-1,0,48,6
