Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Acumulado,Promedio
"Bueno, Carlos",DEL,SLO,5400000,9,5,6,0,0,3,10,0,0,0,10,0,5,6,4,11,3,5,77,5.92
"Nagüel, Sergio",VOL,ARG,700000,0,0,0,0,0,0,5,0,0,0,4,0,13,10,6,5,4,9,56,7
"Araujo, Carlos",DEF,LAN,3000000,0,0,0,5,0,0,6,0,0,13,7,6,0,5,3,7,2,7,61,6.1
"Rodríguez, Juan P.",VOL,ALB,3900000,0,9,8,11,3,11,3,4,12,4,0,0,0,0,6,4,7,2,84,6
"Sigali, Leonardo",DEF,GOD,4600000,6,18,3,-1,0,5,5,4,6,0,0,6,5,5,6,5,6,3,82,5.13
"Silva, Santiago",DEL,BOC,11000000,0,0,0,6,5,3,4,14,5,6,6,9,0,0,0,0,4,0,62,6.2
"Iñíguez, Gaspar",VOL,ARG,900000,6,4,5,11,4,6,7,4,6,2,0,5,5,6,5,5,0,0,81,5.4
"Ferrari, Jonathan",DEF,ALB,2500000,0,0,0,0,0,0,0,0,7,5,6,3,7,0,8,4,15,0,55,6.88
"Soto, Carlos",DEF,ALB,2800000,5,7,8,8,5,3,0,0,7,6,4,6,6,7,1,0,5,5,83,5.53
"Quiroga, Facundo",DEF,ALB,3900000,0,0,5,0,5,4,7,2,0,0,5,3,8,8,8,0,0,5,60,5
"Bologna, Enrique",ARQ,UNI,5000000,9,9,5,3,10,2,3,0,0,0,4,9,0,2,9,0,8,8,81,5.79
"Sperduti, Mauricio",VOL,NOB,5300000,4,6,5,0,0,13,5,5,4,5,5,4,6,3,5,0,0,0,70,5.38
"Cvitanich, Darío",DEL,BOC,7900000,10,4,9,4,0,0,0,6,10,5,4,7,0,4,0,11,5,3,82,6.31
"Zapata, Duván",DEL,EST,1900000,0,0,0,0,0,0,0,0,0,0,8,5,0,6,10,15,4,6,54,7.71
"Grabinski, Cristian",DEF,SMA,3600000,9,4,8,6,3,4,3,6,4,3,5,8,6,0,0,0,7,5,81,5.4
"Caffa, Juan P.",VOL,ARS,3800000,5,14,5,4,5,5,5,5,5,5,6,5,3,6,0,4,0,0,82,5.47
"Mansanelli, César",VOL,BEL,4000000,5,8,0,0,0,0,6,4,5,5,6,5,4,3,5,5,6,0,67,5.15
"Pratto, Lucas",DEL,VEL,4000000,0,0,0,0,0,0,5,4,10,15,5,0,5,0,0,0,5,5,54,6.75
"Lucchetti, Cristian",ARQ,BAN,4200000,2,0,-1,5,2,3,8,5,7,3,5,2,2,3,2,5,6,1,60,3.33
"Pizarro, Guido",VOL,LAN,4500000,6,9,5,0,4,0,7,6,6,0,6,5,0,0,4,5,6,5,74,5.69
"Insúa, Federico",VOL,VEL,6000000,5,18,7,5,6,13,4,0,0,5,5,13,4,4,0,0,0,0,89,7.42
"Meza, Fernando",DEF,SLO,2900000,0,0,7,4,4,5,4,2,2,5,0,8,6,7,5,0,5,0,64,4.92
"Villar, Diego",VOL,GOD,5400000,6,4,4,5,2,5,5,9,0,4,5,3,2,0,5,6,3,4,72,4.5
"Leone, Ramiro",VOL,TIG,3900000,6,6,5,5,0,0,0,0,5,5,6,5,6,5,7,3,5,5,74,5.29
"Gómez, Jonatan",VOL,BAN,4000000,0,2,0,4,0,0,4,14,6,4,3,3,5,5,3,5,0,0,58,4.83
"López, Víctor",DEF,NOB,4800000,3,7,6,4,8,8,8,9,3,0,0,5,0,0,0,0,5,6,72,6
"Jara, Leonardo",VOL,EST,1300000,0,0,5,6,7,5,1,0,0,0,5,4,4,5,6,4,5,5,62,4.77
"Ibáñez, Matías",ARQ,OLI,2000000,4,5,2,3,7,2,5,0,3,3,5,1,3,6,4,2,4,6,65,3.61
"Tonso, Martín",VOL,NOB,2300000,0,0,5,0,12,0,0,0,5,6,5,13,0,0,5,0,0,5,56,7
"Godoy, Fernando",VOL,IND,2700000,5,5,0,0,5,5,5,5,5,3,5,0,4,3,0,0,5,6,61,4.69
"Velázquez, Maximiliano",DEF,LAN,3700000,0,7,1,0,5,5,0,4,3,7,5,0,0,3,0,7,5,7,59,4.92
"Sánchez, Nicolás",DEF,GOD,5600000,6,9,5,2,5,5,6,5,0,1,0,5,5,2,4,3,6,4,73,4.56
"Miguez, Pablo",VOL,UNI,2500000,5,5,5,3,4,5,5,5,3,5,3,0,2,0,4,5,5,4,68,4.25
"Gabbarini, Adrián",ARQ,IND,4100000,0,0,0,0,0,0,0,9,5,5,7,9,0,1,1,9,4,0,50,5
"Prósperi, Gonzalo",DEF,ARG,4200000,7,4,0,6,5,7,0,5,0,7,4,4,0,6,0,0,5,7,67,5.58
"Ledesma, Pablo",VOL,BOC,5000000,0,0,0,2,12,3,0,11,3,6,5,5,0,0,0,0,5,0,52,5.78
"Valeri, Diego",VOL,LAN,8000000,7,4,0,0,6,0,5,5,6,4,0,4,0,3,3,5,5,4,61,4.69
"Zbrun, Martín",DEF,ATR,3000000,8,5,5,3,0,4,5,3,5,5,5,0,5,4,6,3,4,0,70,4.67
"Alayes, Agustín",DEF,BAN,3000000,2,3,5,5,0,0,0,0,2,5,5,4,6,5,4,0,15,3,64,4.57
"Villafáñez, Lucas",VOL,IND,2500000,0,0,0,0,0,0,0,5,3,8,6,4,5,4,4,4,0,5,48,4.8
"Musto, Damián",VOL,OLI,2800000,4,4,0,5,3,5,6,4,5,4,3,3,6,0,0,5,4,0,61,4.07
"Braghieri, Diego",DEF,LAN,3000000,16,0,4,0,0,0,5,0,0,8,7,0,0,15,6,0,0,7,68,8.5
"Cerro, Francisco",VOL,VEL,3500000,4,7,7,4,7,7,4,0,5,6,0,7,0,0,0,0,9,3,70,5.83
"Milito, Gabriel",DEF,IND,5500000,4,5,4,2,2,8,0,6,0,4,6,8,2,0,4,0,0,8,63,4.85
"Palomino, José L.",DEF,SLO,2500000,0,5,5,4,5,5,5,5,5,7,5,0,0,5,0,0,0,5,61,5.08
"Dos Santos, Mauro",DEF,BAN,3000000,4,3,6,6,5,5,6,6,2,6,4,6,0,0,0,2,4,1,66,4.4
"Morales, Juan J.",DEL,ARG,3400000,5,4,0,0,7,4,0,0,0,0,0,5,4,8,4,0,10,5,56,5.6
"Fredes, Hernán",VOL,IND,3700000,0,5,3,2,6,5,5,7,6,0,0,0,0,0,0,6,6,6,57,5.18
"Sosa, Franco",DEF,BOC,3900000,0,4,5,7,4,0,0,8,0,3,0,8,0,7,7,5,5,0,63,5.25
"Pocrnjic, Luciano",ARQ,SMA,4000000,9,2,6,5,5,4,4,4,3,2,5,9,5,0,2,4,0,0,69,4.31
"Ramírez, Rubén",DEL,GOD,9800000,5,5,-1,0,2,0,9,3,0,2,3,0,0,0,8,4,15,1,56,4.67
"Verón, Juan S.",VOL,EST,12500000,4,0,6,0,0,0,0,4,0,0,0,0,0,7,11,6,7,12,57,7.13
"Paparatto, Norberto",DEF,TIG,2900000,7,6,0,0,0,0,0,0,4,4,7,3,8,5,5,3,0,7,59,5.36
"Cabral, Alejandro",VOL,VEL,3400000,6,6,0,0,0,0,0,13,5,5,5,6,3,0,0,0,5,4,58,5.8
